date,dailySteps,season,month,day,double
1/1/2021,5583,winter,1,Friday,TRUE
1/2/2021,5617,winter,1,Saturday,TRUE
1/3/2021,13309,winter,1,Sunday,
1/6/2021,6040,winter,1,Wednesday,
1/9/2021,6317,winter,1,Saturday,
1/11/2021,7007,winter,1,Monday,
1/28/2021,5883,winter,1,Thursday,
1/31/2021,5621,winter,1,Sunday,
2/19/2021,5722,winter,2,Friday,TRUE
2/20/2021,11900,winter,2,Saturday,
4/14/2021,5783,spring,4,Wednesday,
4/21/2021,6148,spring,4,Wednesday,
4/26/2021,6623,spring,4,Monday,
5/5/2021,7365,spring,5,Wednesday,TRUE
5/6/2021,9058,spring,5,Thursday,TRUE
5/7/2021,10062,spring,5,Friday,TRUE
5/8/2021,12803,spring,5,Saturday,TRUE
5/9/2021,6551,spring,5,Sunday,TRUE
5/10/2021,7379,spring,5,Monday,TRUE
5/11/2021,8668,spring,5,Tuesday,
5/14/2021,12116,spring,5,Friday,TRUE
5/15/2021,11914,spring,5,Saturday,TRUE
5/16/2021,7845,spring,5,Sunday,TRUE
5/17/2021,9510,spring,5,Monday,TRUE
5/18/2021,10550,spring,5,Tuesday,
5/20/2021,7612,spring,5,Thursday,TRUE
5/21/2021,10353,spring,5,Friday,TRUE
5/22/2021,12061,spring,5,Saturday,TRUE
5/23/2021,10095,spring,5,Sunday,TRUE
5/24/2021,9336,spring,5,Monday,TRUE
5/25/2021,7683,spring,5,Tuesday,
5/27/2021,8797,spring,5,Thursday,TRUE
5/28/2021,10178,spring,5,Friday,TRUE
5/29/2021,11292,spring,5,Saturday,TRUE
5/30/2021,11090,spring,5,Sunday,TRUE
5/31/2021,11461,spring,5,Monday,TRUE
6/1/2021,13749,summer,6,Tuesday,
6/5/2021,8729,summer,6,Saturday,TRUE
6/6/2021,13268,summer,6,Sunday,
6/8/2021,7392,summer,6,Tuesday,TRUE
6/9/2021,13647,summer,6,Wednesday,TRUE
6/10/2021,10459,summer,6,Thursday,
6/12/2021,8953,summer,6,Saturday,TRUE
6/13/2021,9347,summer,6,Sunday,
6/15/2021,6180,summer,6,Tuesday,
6/17/2021,12155,summer,6,Thursday,TRUE
